BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI_min
67,Heshan National Field Research Station of Forest Ecosystems-BP,2011,2,22.68,112.9,,Plantation,P. massoniana and Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,21.7,1700,490,Rh,-1.97538702
68,Dingmushan,2011,1,29.67,113.83,161,None,None,Subtropical,Forest,Natural,Evergreen,16.9,1430,636,Rh,-2.062870441
69,West China Subalpine Botanical Garden,2010,1,30.73,103.45,,None,None,Subtropical,Forest,Natural,Evergreen,15.2,1243,521.5,Rh,-2.278928232
70,Mt. Dongling,1993,2.5,39.95166667,115.4275,1350,Plantation,Betula platyphylla plantation,Temperate,Forest,Managed,Deciduous,4.8,611.9,278,Rh,-1.324152754
71,Mt. Dongling,1993,2.5,39.95722222,115.4247222,1150,Plantation,Quercus wutaishanica plantation,Temperate,Forest,Managed,Deciduous,4.8,611.9,349,Rh,-1.328632105
72,Mt. Dongling,1993,2.5,39.95944444,115.5277778,1050,Plantation,Pinus tabulaeformis plantation,Temperate,Forest,Managed,Evergreen,4.8,611.9,181,Rh,-1.312182038
73,Miyaluo Experimental Forest,2008,1,31.78,102.7,3215,None,None,Temperate,Forest,Natural,Evergreen,7.27,687.3,656,Rh,-2.469933232
74,Miyaluo Experimental Forest,2008,1,31.78,102.7,3207,None,None,Temperate,Forest,Natural,Evergreen,7.27,687.3,543,Rh,-2.469933232
75,Miyaluo Experimental Forest,2008,1,31.78,102.7,3135,None,None,Temperate,Forest,Natural,Evergreen,7.27,687.3,607,Rh,-2.469933232
76,Miyaluo Experimental Forest,2008,1,31.78,102.7,3378,None,None,Temperate,Forest,Natural,Evergreen,7.27,687.3,712,Rh,-2.469933232
77,Longwang Mountain,2010,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,648.8,Rh,-1.695669091
78,Longwang Mountain,2010,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,730.3,Rh,-1.695669091
79,Longwang Mountain,2010,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,796.6,Rh,-1.695669091
80,Longwang Mountain,2010,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,808.2,Rh,-1.695669091
81,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,562.7,Rh,-2.165864054
82,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,642.3,Rh,-2.165864054
83,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,665.1,Rh,-2.165864054
84,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,655.5,Rh,-2.165864054
85,Longwang Mountain,2012,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,608.5,Rh,-1.86923136
86,Longwang Mountain,2012,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,617.9,Rh,-1.86923136
87,Longwang Mountain,2012,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,723,Rh,-1.86923136
88,Longwang Mountain,2012,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,816.7,Rh,-1.86923136
89,,2011,1,34.82,92.93,4635,None,None,Temperate,Grassland,Natural,Deciduous,-3.8,290.9,203,Rh,-1.787197848
90,,2012,1,34.82,92.93,4635,None,None,Temperate,Grassland,Natural,Deciduous,-3.8,290.9,242,Rh,-1.899350435
91,,2011,1,34.82,92.93,4635,None,None,Temperate,Grassland,Natural,Deciduous,-3.8,290.9,312,Rh,-1.787197848
92,,2012,1,34.82,92.93,4635,None,None,Temperate,Grassland,Natural,Deciduous,-3.8,290.9,333,Rh,-1.899350435
93,Huitong Natural Research Station of Forest Ecosystem,2006,1,27,110,,Plantation,Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,16.5,1200,324,Rh,-1.313372016
94,Forest Ecosystem Open Research Station of Changbai Mountains,2004,1,42.4,128.4666667,738,None,None,Temperate,Forest,Natural,Mixed,3.5,732,404.94,Rh,-2.232085963
95,Qiyang Experimental Station,2009,1,26.75,111.8666667,,Fertilized,N fertilizers,Subtropical,Cropland,Managed,Deciduous,18,1431,232,Rh,-1.917299004
96,Qiyang Experimental Station,2010,1,26.75,111.8666667,,Fertilized,N fertilizers,Subtropical,Cropland,Managed,Deciduous,18,1431,182,Rh,-1.940870328
97,Qiyang Experimental Station,2009,1,26.75,111.8666667,,Fertilized,P fertilizers,Subtropical,Cropland,Managed,Deciduous,18,1431,273,Rh,-1.917299004
98,Qiyang Experimental Station,2010,1,26.75,111.8666667,,Fertilized,P fertilizers,Subtropical,Cropland,Managed,Deciduous,18,1431,304.9,Rh,-1.940870328
99,Qiyang Experimental Station,2009,1,26.75,111.8666667,,Fertilized,K fertilizers,Subtropical,Cropland,Managed,Deciduous,18,1431,619.4,Rh,-1.917299004
100,Qiyang Experimental Station,2010,1,26.75,111.8666667,,Fertilized,K fertilizers,Subtropical,Cropland,Managed,Deciduous,18,1431,616.2,Rh,-1.940870328
101,Qiyang Experimental Station,2009,1,26.75,111.8666667,,Fertilized,NPK fertilizers,Subtropical,Cropland,Managed,Deciduous,18,1431,918.9,Rh,-1.917299004
102,Qiyang Experimental Station,2010,1,26.75,111.8666667,,Fertilized,NPK fertilizers,Subtropical,Cropland,Managed,Deciduous,18,1431,973,Rh,-1.940870328
103,Jinjing,2013,1,28.55111111,113.3311111,80,Rotation,Drainage during fallow season,Subtropical,Cropland,Managed,Evergreen,17.5,1330,179.9,Rh,-1.683494236
104,Jinjing,2013,1,28.55111111,113.3311111,80,Fertilized,biochar amendmen 24 t/ha,Subtropical,Cropland,Managed,Evergreen,17.5,1330,175.2,Rh,-1.683494236
105,Jinjing,2013,1,28.55111111,113.3311111,80,Fertilized,biochar amendmen  48 t/ha,Subtropical,Cropland,Managed,Evergreen,17.5,1330,214.4,Rh,-1.683494236
106,Yanting Agro-ecological Station,2013,1,31.27,105.47,,Plantation,,Subtropical,Forest,Managed,Deciduous,17.3,826,404,Rh,-2.318369433
107,Yanting Agro-ecological Station,2013,1,31.27,105.47,,Rotation,,Subtropical,Cropland,Managed,Deciduous,17.3,826,371,Rh,-2.318369433
108,Yanting Agro-ecological Station,2013,1,31.27,105.47,,Plantation,,Subtropical,Forest,Managed,Deciduous,17.3,826,317,Rh,-2.318369433
109,Yanting Agro-ecological Station,2013,1,31.27,105.47,,Rotation,,Subtropical,Cropland,Managed,Deciduous,17.3,826,331,Rh,-2.318369433
110,Yanting Agro-ecological Station,2013,1,31.27,105.47,,Plantation,,Subtropical,Forest,Managed,Deciduous,17.3,826,385,Rh,-2.318369433
111,Yanting Agro-ecological Station,2013,1,31.27,105.47,,Rotation,,Subtropical,Cropland,Managed,Deciduous,17.3,826,383,Rh,-2.318369433
112,Songpan Plateau Scrub Ecosystem Research Station,2015,1,32.98,103.67,3300,None,None,Temperate,Shrubland,Natural,Deciduous,5.7,720,466,Rh,-1.966218977
113,Songpan Plateau Scrub Ecosystem Research Station,2015,1,32.98,103.67,3300,None,None,Temperate,Shrubland,Natural,Deciduous,5.7,720,531,Rh,-1.966218977
114,Songpan Plateau Scrub Ecosystem Research Station,2015,1,32.98,103.67,3300,None,None,Temperate,Shrubland,Natural,Deciduous,5.7,720,507,Rh,-1.966218977
115,Songpan Plateau Scrub Ecosystem Research Station,2015,1,32.98,103.67,3300,None,None,Temperate,Shrubland,Natural,Deciduous,5.7,720,505,Rh,-1.966218977
116,Guangxi Youyiguan Forest Ecosystem Research Station,2014,1,22.08,106.8,,Plantation,C. hystrix plantation,Subtropical,Forest,Managed,Evergreen,22.3,1300,1249,Rh,-1.870854049
117,Guangxi Youyiguan Forest Ecosystem Research Station,2014,1,22.08,106.8,,Plantation,C. hystrix plantation,Subtropical,Forest,Managed,Evergreen,22.3,1300,1438,Rh,-1.870854049
118,Baotianman,2005,1,33.47,111.92,1350,None,None,Temperate,Forest,Natural,Deciduous,15.1,900,520.68,Rh,-1.48402827
119,Baotianman,2005,1,33.47,111.92,1290,None,None,Temperate,Forest,Natural,Deciduous,15.1,900,469.25,Rh,-1.48402827
120,Baotianman,2005,1,33.47,111.92,1270,None,None,Temperate,Forest,Natural,Deciduous,15.1,900,458.49,Rh,-1.48402827
121,Baotianman,2005,1,33.47,111.92,1290,None,None,Temperate,Forest,Natural,Deciduous,15.1,900,564.17,Rh,-1.48402827
122,Baotianman,2005,1,33.47,111.92,1300,None,None,Temperate,Forest,Natural,Deciduous,15.1,900,510.34,Rh,-1.48402827
123,Dinghuashan,2009,1,23.15,112.51,200,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,856.92,Rh,-2.073767784
124,Dinghuashan,2009,1,23.15,112.51,200,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,898.28,Rh,-2.073767784
125,Dinghuashan,2009,1,23.15,112.51,250,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,938.72,Rh,-2.073767784
126,Qinling,1998,1,33.38,108.33,,None,None,Subtropical,Forest,Natural,Evergreen,9,1000,1907.01,Rh,-2.126151659
127,Qinling,1998,1,33.38,108.33,,None,None,Subtropical,Forest,Natural,Deciduous,9,1000,1361.98,Rh,-2.126151659
128,Xishuangbanna,2008,2,21.5,100.83,,None,None,Subtropical,Forest,Natural,Evergreen,21.5,1557,737.95,Rh,-0.396854289
129,Xishuangbanna,2008,2,21.5,100.83,,Plantation,Hevea brasiliensis plantation,Subtropical,Forest,Managed,Evergreen,21.5,1557,461.69,Rh,-0.396854289
130,Yulin,2009,1,38.77,110.37,1224,Weed control,,Temperate,Bare,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816
131,Yulin,2009,1,38.77,110.37,1224,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816
132,Yulin,2009,1,38.77,110.37,1224,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816
133,Yulin,2009,1,38.77,110.37,1224,Fertilized,,Temperate,Cropland,Managed,Deciduous,8.4,437,204.35,Rh,-2.364418816
134,Yulin,2009,1,38.77,110.37,1224,Fertilized,None,Temperate,Grassland,Natural,Deciduous,8.4,437,204.35,Rh,-2.364418816
