BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI,LogRS
627,Yizhou State Forestry Centre,2003,1,26.41666667,117.8333333,,Clearcut,"Clearcut, slash burned",Subtropical,Forest,Managed,Evergreen,19.2,1688,386,Rs,-2.264854385,2.586587305
628,Yizhou State Forestry Centre,2003,1,26.41666667,117.8333333,,None,None,Subtropical,Forest,Natural,Evergreen,19.2,1688,1269,Rs,-2.264854385,3.103461622
631,Yizhou State Forestry Centre,2003,1,26.41666667,117.8333333,,Clearcut,"Clearcut, slash burned",Subtropical,Forest,Managed,Evergreen,19.2,1688,386,Rs,-2.264854385,2.586587305
632,Yizhou State Forestry Centre,2003,1,26.41666667,117.8333333,,None,None,Subtropical,Forest,Natural,Evergreen,19.2,1688,1269,Rs,-2.264854385,3.103461622
633,Menglun Nature Reserve,2005,5,21.9275,101.2652778,750,None,None,Tropical,Forest,Natural,Mixed,21.7,1487,886,Rs,-2.287091167,2.947433722
634,Changbai Mountains Forest Ecosystem Research Station,2004,3,42.4,128.1,748,None,None,Temperate,Forest,Natural,Evergreen,3.6,705,935.4,Rs,-2.194487941,2.970997366
635,Changbai Mountains Forest Ecosystem Research Station,2004,3,42.4,128.1,746,None,None,Temperate,Forest,Natural,Deciduous,3.6,705,1477.9,Rs,-2.194487941,3.169645049
636,Changbai Mountains Forest Ecosystem Research Station,2004,3,42.4,128.1,674,Plantation,Pinus koraiensis Siebold plantation,Temperate,Forest,Managed,Deciduous,3.6,705,830.7,Rs,-2.194487941,2.91944421
640,Xilin River Basin,2006,1,43.5125,116.8272222,1343,None,None,Boreal,Grassland,Natural,Deciduous,-1.4,450,240.44,Rs,-2.066726043,2.381006719
641,Xilin River Basin,2006,1,43.58888889,116.5541667,1130,None,None,Boreal,Grassland,Natural,Deciduous,-1.4,450,150.62,Rs,-2.100957284,2.177882643
643,Xilin River Basin,2007,1,43.5125,116.8272222,1343,None,None,Boreal,Grassland,Natural,Deciduous,-1.4,450,223.62,Rs,-2.348222597,2.349510643
644,Xilin River Basin,2007,1,43.58888889,116.5541667,1130,None,None,Boreal,Grassland,Natural,Deciduous,-1.4,450,176.84,Rs,-2.352876674,2.247580506
645,Xilin River Basin,2007,1,44.08666667,115.9044444,970,None,None,Boreal,Grassland,Natural,Deciduous,-1.4,450,125.69,Rs,-2.306424356,2.099300726
648,Saihanba Forestry Center,2006,1.5,42.5,117.35,1400,Fertilized,10 kg N m^-1 yr^-1,Boreal,Forest,Managed,Evergreen,-1.4,450.1,453,Rs,-2.003674936,2.656098202
649,Saihanba Forestry Center,2006,1.5,42.5,117.35,1400,Fertilized,15 kg N m^-1 yr^-1,Boreal,Forest,Managed,Deciduous,-1.4,450.1,436,Rs,-2.003674936,2.639486489
650,Saihanba Forestry Center,2006,1.5,42.5,117.35,1400,None,None,Boreal,Forest,Natural,Deciduous,-1.4,450.1,576,Rs,-2.003674936,2.760422483
651,Saihanba Forestry Center,2006,1.5,42.5,117.35,1400,None,None,Boreal,Shrubland,Natural,Deciduous,-1.4,450.1,621,Rs,-2.003674936,2.7930916
652,Saihanba Forestry Center,2006,1.5,42.5,117.35,1400,None,None,Boreal,Shrubland,Natural,Deciduous,-1.4,450.1,653,Rs,-2.003674936,2.814913181
653,Saihanba Forestry Center,2006,1.5,42.5,117.35,1400,None,None,Boreal,Grassland,Natural,Deciduous,-1.4,450.1,495,Rs,-2.003674936,2.694605199
654,Saihanba Forestry Center,2006,1.5,42.5,117.35,1400,None,None,Boreal,Grassland,Natural,Deciduous,-1.4,450.1,785,Rs,-2.003674936,2.894869657
662,Tianjiling National Park,2007,1,28.1,113.0166667,80,Plantation,,Subtropical,Forest,Managed,Evergreen,17.2,1422,443,Rs,-2.35308924,2.646403726
668,,2008,1,30.36666667,120,,Plantation,,Tropical,Forest,Managed,Evergreen,16.4,1629,1549,Rs,-2.074203838,3.190051418
669,,2008,1,30.36666667,120,,Plantation,,Tropical,Forest,Managed,Evergreen,16.4,1629,1123,Rs,-2.074203838,3.050379756
670,,2008,1,30.36666667,120,150,None,None,Tropical,Forest,Natural,Evergreen,16.4,1629,1151,Rs,-2.074203838,3.061075324
676,Baiinxile Pasture,2007,1.5,43.55277778,116.6747222,1265,None,None,Boreal,Grassland,Natural,Deciduous,-0.4,400,194,Rs,-2.338221257,2.28780173
677,Baiinxile Pasture,2007,1.5,43.55277778,116.6747222,1265,None,None,Boreal,Grassland,Natural,Deciduous,-0.4,400,195,Rs,-2.338221257,2.290034611
678,Baiinxile Pasture,2007,1.5,43.55277778,116.6747222,1265,None,None,Boreal,Grassland,Natural,Deciduous,-0.4,400,157,Rs,-2.338221257,2.195899652
679,Baiinxile Pasture,2007,1.5,43.55277778,116.6747222,1265,None,None,Boreal,Grassland,Natural,Deciduous,-0.4,400,127,Rs,-2.338221257,2.103803721
680,Heshan Hilly Land Interdisciplinary Experimental Station,2007,1,22.56666667,112.8333333,,Understory removal,,Subtropical,Forest,Managed,Evergreen,21.7,1295,721,Rs,-2.025274407,2.857935265
681,Heshan Hilly Land Interdisciplinary Experimental Station,2007,1,22.56666667,112.8333333,,Fertilized,,Subtropical,Forest,Managed,Evergreen,21.7,1295,608,Rs,-2.025274407,2.783903579
686,Qianyanzhou Ecological Station,2007,1,26.74416667,115.0591667,102,Plantation,Pinus elliottii Engelm plantation,Subtropical,Forest,Managed,Evergreen,17.9,1469,725,Rs,-2.471383924,2.860338007
688,Qianyanzhou Ecological Station,2009,1,26.74416667,115.0591667,102,Plantation,Pinus elliottii Engelm plantation,Subtropical,Forest,Managed,Evergreen,17.9,1469,730,Rs,-2.121112023,2.86332286
700,Dagangshan Forest Station,2007,1,27.67,114.67,280,Plantation,Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,16.8,1590,673,Rs,-2.568518255,2.828015064
701,Dagangshan Forest Station,2007,1,27.67,114.67,280,Plantation,Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,16.8,1590,1053,Rs,-2.568518255,3.022428371
702,Dagangshan Forest Station,2007,1,27.67,114.67,300,Plantation,Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,16.8,1590,1220,Rs,-2.568518255,3.086359831
703,Dagangshan Forest Station,2007,1,27.67,114.67,300,Plantation,Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,16.8,1590,1203,Rs,-2.568518255,3.080265627
704,Dagangshan Forest Station,2007,1,27.67,114.67,300,Plantation,Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,16.8,1590,870,Rs,-2.568518255,2.939519253
705,Dinghushan Forest Ecosystem Research Station-PF,2007,3,23.17,112.6,250,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,961,Rs,-2.070828995,2.982723388
707,Dinghushan Forest Ecosystem Research Station-BF,2009,3,23.17,112.6,260,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,1166,Rs,-2.049995669,3.06669855
708,Dinghushan Forest Ecosystem Research Station-PF,2007,3,23.17,112.6,250,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,833,Rs,-2.070828995,2.920645001
710,Dinghushan Forest Ecosystem Research Station-BF,2009,3,23.17,112.6,260,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,1158,Rs,-2.049995669,3.063708559
713,Mt. Gonglushan,2010,1,36.42333333,109.5255,1353,Plantation,,Temperate,Forest,Managed,Deciduous,10.6,498,1044,Rs,-2.193073463,3.018700499
714,Mt. Gonglushan,2010,1,36.42333333,109.5255,1353,None,None,Temperate,Forest,Natural,Deciduous,10.6,498,1393,Rs,-2.193073463,3.143951116
734,Dinghushan Biosphere Reserve,2007,1,23.17,112.54,225,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,848,Rs,-2.063336465,2.928395852
735,Dinghushan Biosphere Reserve,2007,1,23.17,112.54,225,None,None,Subtropical,Forest,Natural,Mixed,21.4,1956,1082,Rs,-2.063336465,3.034227261
736,Dinghushan Biosphere Reserve,2007,1,23.17,112.54,225,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,1094,Rs,-2.063336465,3.039017322
737,Dinghushan Biosphere Reserve,2007,1,23.17,112.54,225,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,416,Rs,-2.063336465,2.619093331
738,Dinghushan Biosphere Reserve,2007,1,23.17,112.54,225,None,None,Subtropical,Forest,Natural,Mixed,21.4,1956,787,Rs,-2.063336465,2.895974732
739,Dinghushan Biosphere Reserve,2007,1,23.17,112.54,225,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,810,Rs,-2.063336465,2.908485019
740,Dinghushan Biosphere Reserve,2007,1,23.17,112.54,225,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,999,Rs,-2.063336465,2.999565488
741,Dinghushan Biosphere Reserve,2007,1,23.17,112.54,225,None,None,Subtropical,Forest,Natural,Mixed,21.4,1956,1124,Rs,-2.063336465,3.050766311
742,Dinghushan Biosphere Reserve,2007,1,23.17,112.54,225,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1956,1116,Rs,-2.063336465,3.047664195
743,Zhangzhou Mangrove Nature Reserve,2011,1,24.4,117.91,,None,None,Subtropical,Wetland,Natural,,21,1371,650,Rs,-2.072693484,2.812913357
749,,2006,1,37.73333333,112.3666667,,None,None,Temperate,Forest,Natural,Evergreen,10,413.9,1290,Rs,-2.049389621,3.11058971
752,,2009,1,37.73333333,112.3666667,,None,None,Temperate,Forest,Natural,Evergreen,10,413.9,1343,Rs,-2.239991975,3.128076013
754,,2006,1,37.73333333,112.3666667,,None,None,Temperate,Grassland,Natural,Deciduous,10,413.9,1272,Rs,-2.049389621,3.104487111
757,,2009,1,37.73333333,112.3666667,,None,None,Temperate,Grassland,Natural,Deciduous,10,413.9,1555,Rs,-2.239991975,3.191730393
764,Geshikao Nature Reserve,2011,1,26.18,117.47,315,None,None,Subtropical,Forest,Natural,,20.1,1670,1434,Rs,-2.351298722,3.156549151
765,Geshikao Nature Reserve,2011,1,26.18,117.47,315,Plantation,Castanopsis carlesii plantation,Subtropical,Forest,Managed,,20.1,1670,1118,Rs,-2.351298722,3.048441804
766,Mt Gonglushan,2011,2,26.423,109.526,1353,None,None,Temperate,Forest,Natural,Deciduous,10.1,504.7,900,Rs,-2.115245373,2.954242509
767,Mt Gonglushan,2011,2,26.423,109.526,1353,None,None,Temperate,Forest,Natural,Deciduous,10.1,504.7,825,Rs,-2.115245373,2.916453949
768,Mt Gonglushan,2011,2,26.423,109.526,1353,Plantation,R. pseudoacacia plantation,Temperate,Forest,Managed,Deciduous,10.1,504.7,660,Rs,-2.115245373,2.819543936
769,Mt Gonglushan,2011,2,26.423,109.526,1353,None,None,Temperate,Shrubland,Natural,Deciduous,10.1,504.7,740,Rs,-2.115245373,2.86923172
777,,2009,1,49.35,120.1,675,None,None,Temperate,Grassland,Natural,Deciduous,-2.4,350,488.47,Rs,-2.283299313,2.688837896
779,,2010,1,29.5,103.6,,Plantation,,Temperate,Forest,Managed,Evergreen,15,1489.8,427,Rs,-2.196029425,2.630427875
786,Quzhoi Experimental Station,2010,1,36.87,115.02,40,Irrigated,"Fertilized, irrigated Con.W/M",Temperate,Cropland,Managed,Deciduous,13.2,494,859,Rs,-2.23215477,2.933993164
789,Quzhoi Experimental Station,2010,1,36.87,115.02,40,Irrigated,"Fertilized, irrigated Opt.W/M",Temperate,Cropland,Managed,Deciduous,13.2,494,1053,Rs,-2.23215477,3.022428371
792,Quzhoi Experimental Station,2010,1,36.87,115.02,40,Irrigated,"Fertilized, irrigated W/M-M",Temperate,Cropland,Managed,Deciduous,13.2,494,1047,Rs,-2.23215477,3.019946682
795,Quzhoi Experimental Station,2010,1,36.87,115.02,40,Irrigated,"Fertilized, irrigated W/S-M",Temperate,Cropland,Managed,Deciduous,13.2,494,892,Rs,-2.23215477,2.950364854
798,Quzhoi Experimental Station,2010,1,36.87,115.02,40,Irrigated,"Fertilized, irrigated M",Temperate,Cropland,Managed,Deciduous,13.2,494,914,Rs,-2.23215477,2.960946196
801,Changwu Station,2008,1,35.2,104.67,1200,Rotation,"rotations of wheat, legume, and maize",Temperate,Grassland,Managed,Deciduous,9.4,560,293,Rs,-2.005802254,2.46686762
803,Changwu Station,2010,1,35.2,104.67,1200,Rotation,"rotations of wheat, legume, and maize",Temperate,Grassland,Managed,Deciduous,9.4,560,238,Rs,-2.038397947,2.376576957
806,Changwu Station,2013,1,35.2,104.67,1200,Rotation,"rotations of wheat, legume, and maize",Temperate,Grassland,Managed,Deciduous,9.4,560,240,Rs,-2.326266644,2.380211242
807,Changwu Station,2010,1,35.2,104.67,1095,None,None,Temperate,Forest,Natural,Deciduous,9.4,580,950,Rs,-2.038397947,2.977723605
837,Huitong National Research Station of Forest Ecosystem,2011,1,26.8,109.6,,None,None,Subtropical,Forest,Natural,Evergreen,16.5,1200,511,Rs,-2.183345246,2.7084209
838,Huitong National Research Station of Forest Ecosystem,2011,1,26.8,109.6,,None,None,Subtropical,Forest,Natural,Evergreen,16.5,1200,679,Rs,-2.183345246,2.831869774
839,Huitong National Research Station of Forest Ecosystem,2011,1,26.8,109.6,,None,None,Subtropical,Forest,Natural,Evergreen,16.5,1200,395,Rs,-2.183345246,2.596597096
840,Huitong National Research Station of Forest Ecosystem,2011,1,26.8,109.6,,None,None,Subtropical,Forest,Natural,Evergreen,16.5,1200,407,Rs,-2.183345246,2.609594409
841,Huitong National Research Station of Forest Ecosystem,2011,1,26.8,109.6,,None,None,Subtropical,Forest,Natural,Evergreen,16.5,1200,338,Rs,-2.183345246,2.5289167
847,Dinghushan Biosphere Reserve,2003,1,23.2,112.51,,None,None,Subtropical,Forest,Natural,Evergreen,20.5,1700,694,Rs,-2.165182101,2.84135947
851,Dinghushan Biosphere Reserve,2007,1,23.2,112.51,,None,None,Subtropical,Forest,Natural,Evergreen,20.5,1700,732,Rs,-2.064086422,2.864511081
853,Dinghushan Biosphere Reserve,2009,1,23.2,112.51,,None,None,Subtropical,Forest,Natural,Evergreen,20.5,1700,728,Rs,-2.09482056,2.862131379
868,Fenghuo Mountain,2013,1,34.7,92.9,4700,None,None,Boreal,Grassland,Natural,Deciduous,-5.3,269.7,246,Rs,-2.548506985,2.390935107
869,Fenghuo Mountain,2013,1,34.7,92.9,4700,None,None,Boreal,Grassland,Natural,Deciduous,-5.3,269.7,371,Rs,-2.548506985,2.56937391
870,Dingmushan,2011,1,29.67,113.83,161,None,None,Subtropical,Forest,Natural,Evergreen,16.9,1430,897,Rs,-2.062870441,2.952792443
871,Xishuangbanna,2012,2.5,21.92,101.27,568,None,None,Tropical,Forest,Natural,Evergreen,21.7,1487,693,Rs,-2.044952877,2.840733235
872,Xishuangbanna,2012,2.5,21.92,101.27,568,None,None,Tropical,Forest,Natural,Evergreen,21.7,1487,855,Rs,-2.044952877,2.931966115
880,West China Subalpine Botanical Garden,2010,1,30.73,103.45,,None,None,Subtropical,Forest,Natural,Evergreen,15.2,1243,1083.47,Rs,-2.278928232,3.034816891
881,West China Subalpine Botanical Garden,2010,1,30.73,103.45,,None,None,Subtropical,Forest,Natural,Evergreen,15.2,1243,1363.3,Rs,-2.278928232,3.134591435
906,Mt. Dongling,2014,3,39.95166667,115.4275,1350,Plantation,Betula platyphylla plantation,Tropical,Forest,Managed,Deciduous,4.8,611.9,574,Rs,-2.527452354,2.758911892
907,Mt. Dongling,2014,3,39.95722222,115.4247222,1150,Plantation,Quercus wutaishanica plantation,Tropical,Forest,Managed,Deciduous,4.8,611.9,455,Rs,-2.524262832,2.658011397
908,Mt. Dongling,2014,3,39.95944444,115.5277778,1050,Plantation,Pinus tabulaeformis plantation,Tropical,Forest,Managed,Evergreen,4.8,611.9,414,Rs,-2.484338941,2.617000341
913,Miyaluo Experimental Forest,2008,1,31.78,102.7,3215,None,None,Temperate,Forest,Natural,Evergreen,7.27,687.3,1004,Rs,-2.469933232,3.001733713
914,Miyaluo Experimental Forest,2008,1,31.78,102.7,3207,None,None,Temperate,Forest,Natural,Evergreen,7.27,687.3,792,Rs,-2.469933232,2.898725182
915,Miyaluo Experimental Forest,2008,1,31.78,102.7,3135,None,None,Temperate,Forest,Natural,Evergreen,7.27,687.3,952,Rs,-2.469933232,2.978636948
916,Miyaluo Experimental Forest,2008,1,31.78,102.7,3378,None,None,Temperate,Forest,Natural,Evergreen,7.27,687.3,1070,Rs,-2.469933232,3.029383778
917,Tea Research Institute-HP,2011,1,30.23,120.15,,Fertilized,,Subtropical,Cropland,Managed,Evergreen,17,1533,540,Rs,-2.15434535,2.73239376
918,Tea Research Institute-MP,2011,1,30.23,120.15,,Fertilized,,Subtropical,Cropland,Managed,Evergreen,17,1533,440,Rs,-2.15434535,2.643452676
919,Tea Research Institute-LP,2011,1,30.23,120.15,,Fertilized,,Subtropical,Cropland,Managed,Evergreen,17,1533,430,Rs,-2.15434535,2.633468456
920,Tea Research Institute-WL,2011,1,30.23,120.15,,Fertilized,,Subtropical,Cropland,Managed,Evergreen,17,1533,430,Rs,-2.15434535,2.633468456
921,Tea Research Institute-VF,2011,1,30.23,120.15,,Fertilized,,Subtropical,Cropland,Managed,Evergreen,17,1533,520,Rs,-2.15434535,2.716003344
926,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,782,Rs,-2.165864054,2.893206753
927,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,784.1,Rs,-2.165864054,2.894371454
928,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,785.7,Rs,-2.165864054,2.895256753
929,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,757.6,Rs,-2.165864054,2.879439966
946,Wangdonggou,2013,1,35.22,107.67,1095,None,None,Temperate,Forest,Natural,Deciduous,9.4,560,961,Rs,-2.034163877,2.982723388
947,Wangdonggou,2013,1,35.22,107.67,1095,None,None,Temperate,Grassland,Natural,Deciduous,9.4,560,605,Rs,-2.034163877,2.781755375
948,Wangdonggou,2013,1,35.22,107.67,1095,Fertilized,,Temperate,Forest,Managed,Deciduous,9.4,560,554,Rs,-2.034163877,2.743509765
949,Wangdonggou,2013,1,35.22,107.67,1095,Fertilized,,Temperate,Cropland,Managed,Deciduous,9.4,560,651,Rs,-2.034163877,2.813580989
950,Maoxian Mountain Ecosystem Research Station,2010,3,31.62,103.9,,Thinned,CK,Temperate,Forest,Managed,Evergreen,8.9,900,450,Rs,-2.157125554,2.653212514
951,Maoxian Mountain Ecosystem Research Station,2010,3,31.62,103.9,,Thinned,74 m^2,Temperate,Forest,Managed,Evergreen,8.9,900,454,Rs,-2.157125554,2.657055853
952,Maoxian Mountain Ecosystem Research Station,2010,3,31.62,103.9,,Thinned,109 m^2,Temperate,Forest,Managed,Evergreen,8.9,900,439,Rs,-2.157125554,2.64246452
956,Tianmu Mountain,2007,1,30.31666667,119.4416667,1506,Thinned,109 m^2,Subtropical,Forest,Managed,Evergreen,16.8,1420,761.1,Rs,-2.171739276,2.881441722
957,Tianmu Mountain,2007,1,30.31666667,119.4416667,1506,Thinned,196 m^2,Subtropical,Forest,Managed,Deciduous,16.8,1420,1443.6,Rs,-2.171739276,3.159446873
962,Beilu River Research Station,2013,1,34.81666667,92.93333333,4635,None,None,Boreal,Grassland,Natural,Deciduous,-5.1,294.5,851,Rs,-2.551125518,2.92992956
963,Beilu River Research Station,2013,1,34.81666667,92.93333333,4635,None,None,Boreal,Grassland,Natural,Deciduous,-5.1,294.5,1060,Rs,-2.551125518,3.025305865
964,Beilu River Research Station,2013,1,34.81666667,92.93333333,4635,None,None,Boreal,Grassland,Natural,Deciduous,-5.1,294.5,1060,Rs,-2.551125518,3.025305865
965,Beilu River Research Station,2013,1,34.81666667,92.93333333,4635,None,None,Boreal,Grassland,Natural,Deciduous,-5.1,294.5,946,Rs,-2.551125518,2.975891136
966,Experimental Center of Tropical Forestry,2009,1,22.16666667,106.8333333,,Plantation,Pinus massoniana plantation,Subtropical,Forest,Managed,Evergreen,21,1400,377,Rs,-2.083901689,2.57634135
967,Experimental Center of Tropical Forestry,2009,1,22.16666667,106.8333333,,Plantation,Pinus massoniana and Castanopsis hystrix plantation,Subtropical,Forest,Managed,Mixed,21,1400,456,Rs,-2.083901689,2.658964843
968,Experimental Center of Tropical Forestry,2009,1,22.16666667,106.8333333,,Plantation,Castanopsis hystrix plantation,Subtropical,Forest,Managed,Deciduous,21,1400,622,Rs,-2.083901689,2.793790385
981,Forest Ecosystem Open Research Station of Changbai Mountains,2004,1,42.4,128.4666667,738,None,None,Temperate,Forest,Natural,Mixed,3.5,732,737.94,Rs,-2.232085963,2.868021052
982,Tianlong Mountain Natural Reserve,2006,3,37.73333333,112.3666667,1443,None,None,Temperate,Forest,Natural,Evergreen,10,478,962.5,Rs,-2.049389621,2.983400738
983,Tianlong Mountain Natural Reserve,2006,3,37.73333333,112.3666667,1443,None,None,Temperate,Forest,Natural,Evergreen,10,478,1027.5,Rs,-2.049389621,3.011781831
984,Tianlong Mountain Natural Reserve,2006,3,37.73333333,112.3666667,1442,None,None,Temperate,Forest,Natural,Evergreen,10,478,1166.5,Rs,-2.049389621,3.066884743
987,,2011,1,30.41666667,120.4333333,200,None,None,Subtropical,Forest,Natural,Deciduous,15.9,1450,755,Rs,-2.100780554,2.877946952
988,,2011,1,30.41666667,120.4333333,200,None,None,Subtropical,Forest,Natural,Deciduous,15.9,1450,978,Rs,-2.100780554,2.990338855
989,,2011,1,30.41666667,120.4333333,200,None,None,Subtropical,Forest,Natural,Deciduous,15.9,1450,1110,Rs,-2.100780554,3.045322979
990,,2011,1,30.41666667,120.4333333,200,None,None,Subtropical,Forest,Natural,Deciduous,15.9,1450,1138,Rs,-2.100780554,3.056142262
991,Shankou Township,2011,1,30.23333333,119.7,,Fertilized,,Subtropical,Cropland,Managed,Deciduous,15.8,1629,1238,Rs,-2.215852362,3.092720645
992,Shankou Township,2011,1,30.23333333,119.7,,Fertilized,,Subtropical,Forest,Managed,Deciduous,15.8,1629,946,Rs,-2.215852362,2.975891136
993,Shapotou,2007,1.5,32.53333333,105.0333333,1300,None,None,Temperate,Desert,Natural,Deciduous,10,186,33,Rs,-2.105479311,1.51851394
994,Shapotou,2007,1.5,32.53333333,105.0333333,1300,None,None,Temperate,Desert,Natural,Deciduous,10,186,106,Rs,-2.105479311,2.025305865
1000,Tianmu Mountain,2011,1,30.2,119.23,,None,None,Temperate,Forest,Natural,Evergreen,15.8,1400,571,Rs,-2.209817183,2.756636108
1001,Tianmu Mountain,2011,1,30.2,119.23,,None,None,Temperate,Forest,Natural,Evergreen,15.8,1400,537,Rs,-2.209817183,2.729974286
1002,Tianmu Mountain,2011,1,30.2,119.23,,None,None,Temperate,Forest,Natural,Evergreen,15.8,1400,677,Rs,-2.209817183,2.830588669
1028,,2006,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,908,Rs,-2.011757806,2.958085849
1029,,2006,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,1041,Rs,-2.011757806,3.01745073
1030,,2006,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,1003,Rs,-2.011757806,3.001300933
1031,,2006,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,984,Rs,-2.011757806,2.992995098
1032,,2007,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,587,Rs,-2.065261431,2.768638101
1033,,2007,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,814,Rs,-2.065261431,2.910624405
1034,,2007,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,568,Rs,-2.065261431,2.754348336
1035,,2007,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,605,Rs,-2.065261431,2.781755375
1040,,2009,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,596,Rs,-2.104346982,2.77524626
1041,,2009,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,833,Rs,-2.104346982,2.920645001
1042,,2009,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,492,Rs,-2.104346982,2.691965103
1043,,2009,1,42.18,116.8,1324,None,None,Temperate,Grassland,Natural,Evergreen,2.4,375,587,Rs,-2.104346982,2.768638101
1063,Research and Education Farm,2014,4,34.82,114.28,73,Fertilized,,Temperate,Cropland,Managed,Deciduous,14.3,627,798,Rs,-2.108424531,2.902002891
1064,Research and Education Farm,2014,4,34.82,114.28,73,Fertilized,,Temperate,Cropland,Managed,Deciduous,14.3,627,949,Rs,-2.108424531,2.977266212
1065,Research and Education Farm,2014,4,34.82,114.28,73,Fertilized,,Temperate,Cropland,Managed,Deciduous,14.3,627,809,Rs,-2.108424531,2.907948522
1066,Research and Education Farm,2014,4,34.82,114.28,73,Fertilized,,Temperate,Cropland,Managed,Deciduous,14.3,627,912,Rs,-2.108424531,2.959994838
1067,Datong river basin,1998,1,37.62,101.32,3200,Grazing,light grazing,Arctic,Grassland,Managed,Evergreen,-1.7,580,663.02,Rs,-2.759122154,2.821526629
1068,Datong river basin,1998,1,37.62,101.32,3200,Grazing,light grazing,Arctic,Grassland,Managed,Evergreen,-1.7,580,462.02,Rs,-2.759122154,2.664660776
1069,Datong river basin,1998,1,37.62,101.32,3200,Grazing,heavy grazing,Arctic,Grassland,Managed,Evergreen,-1.7,580,660.63,Rs,-2.759122154,2.819958292
1070,Datong river basin,1998,1,37.62,101.32,3200,Grazing,heavy grazing,Arctic,Grassland,Managed,Evergreen,-1.7,580,512.75,Rs,-2.759122154,2.709905669
1076,Luanchen,1992,1,37.83,114.67,,Warmed,no N fertilizer and warming,Temperate,Cropland,Managed,Deciduous,12.2,536.7,487.64,Rs,-2.009477097,2.688099323
1077,Luanchen,1992,1,37.83,114.67,,Fertilized,with mineral N fertilizer 315 kg N ha y and no warming,Temperate,Cropland,Managed,Deciduous,12.2,536.7,454.64,Rs,-2.009477097,2.657667643
1078,Luanchen,1992,1,37.83,114.67,,Fertilized,with mineral N fertilizer 315 kg N ha y and no warming,Temperate,Cropland,Managed,Deciduous,12.2,536.7,444.27,Rs,-2.009477097,2.647646988
1092,Dinghuashan,2009,1,23.15,112.51,200,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,1692.1,Rs,-2.073767784,3.228426025
1093,Dinghuashan,2009,1,23.15,112.51,200,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,1346.5,Rs,-2.073767784,3.129206358
1094,Dinghuashan,2009,1,23.15,112.51,250,None,None,Subtropical,Forest,Natural,Evergreen,21.4,1927,1415.9,Rs,-2.073767784,3.151032582
1103,Tianlongshan,2006,3,37.87,112.55,1019,None,,Temperate,Shrubland,Natural,Deciduous,10,478.4,1169,Rs,-2.060477522,3.067814511
1104,Tianlongshan,2006,3,37.87,112.55,1440,None,None,Temperate,Shrubland,Natural,Deciduous,10,478.4,1002,Rs,-2.060477522,3.000867722
1106,Qinling,1998,1,33.38,108.33,,None,None,Subtropical,Forest,Natural,Evergreen,9,1000,2825.24,Rs,-2.126151659,3.451055346
1107,Qinling,1998,1,33.38,108.33,,None,None,Subtropical,Forest,Natural,Deciduous,9,1000,2232.34,Rs,-2.126151659,3.348760341
