BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI,LogRS
226,Haibei,2009,1,37.6,101.3,3198,Grazing,Warm-season grazing,Alpine,Grassland,Managed,Deciduous,-1.1,486,530.3966,Rh,-2.331973007,2.724600731
227,Haibei,2009,1,37.6,101.3,3198,Grazing,Cold-season grazing,Alpine,Grassland,Managed,Deciduous,-1.1,486,551.9682,Rh,-2.331973007,2.741914058
234,Haibei,2013,1,37.6,101.3,3198,Grazing,Warm-season grazing,Alpine,Grassland,Managed,Deciduous,-1.1,486,378.8073,Rh,-2.294977577,2.57841834
235,Haibei,2013,1,37.6,101.3,3198,Grazing,Cold-season grazing,Alpine,Grassland,Managed,Deciduous,-1.1,486,386.8268,Rh,-2.294977577,2.587516555
242,,2013,1,36.37,100.9,3570,None,None,Alpine,Grassland,Natural,Deciduous,1.5,310,53.13,Rh,-2.41486246,1.725339816
271,Taoyuan agroecological experimental station,2007,1,28.91,111.45,,Rotation,,Subtropical,Cropland,Managed,Deciduous,16.5,1437,337,Rh,-2.010061874,2.527629901
297,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,None,None,Subtropical,Forest,Natural,Evergreen,19.1,1749,578,Ra,-2.320547065,2.761927838
298,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,356,Ra,-2.320547065,2.551449998
299,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,Plantation,,Subtropical,Forest,Managed,Evergreen,19.1,1749,155,Ra,-2.320547065,2.190331698
304,Menglun Nature Reserve,2005,5,21.9275,101.2652778,750,None,None,Tropical,Forest,Natural,Mixed,21.7,1487,432,Ra,-2.287091167,2.635483747
305,Tianjiling National Park,2007,1,28.1,113.0166667,80,Plantation,,Subtropical,Forest,Managed,Evergreen,17.2,1422,91,Ra,-2.35308924,1.959041392
316,Heshan Hilly Land Interdisciplinary Experimental Station,2007,1,22.56666667,112.8333333,,Fertilized,C. alata addition,Subtropical,Forest,Managed,Evergreen,21.7,1295,245,Ra,-2.025274407,2.389166084
317,Heshan Hilly Land Interdisciplinary Experimental Station,2007,1,22.56666667,112.8333333,,Fertilized,C. alata addition,Subtropical,Forest,Managed,Evergreen,21.7,1295,176,Ra,-2.025274407,2.245512668
318,Mt. Gonglushan,2010,1,36.42333333,109.5255,,Plantation,,Temperate,Forest,Managed,Deciduous,10.6,498,329,Ra,-2.193073463,2.517195898
319,Mt. Gonglushan,2010,1,36.42333333,109.5255,1353,None,None,Temperate,Forest,Natural,Deciduous,10.6,498,401,Ra,-2.193073463,2.603144373
325,,2010,1,29.5,103.6,,Plantation,,Temperate,Forest,Managed,Evergreen,15,1489.8,208,Ra,-2.196029425,2.318063335
327,Huitong National Research Station of Forest Ecosystem,2011,1,26.8,109.6,,None,None,Subtropical,Forest,Natural,Evergreen,16.5,1200,103,Ra,-2.183345246,2.012837225
333,Dingmushan,2011,1,29.67,113.83,161,None,None,Subtropical,Forest,Natural,Evergreen,16.9,1430,261,Ra,-2.062870441,2.416640507
334,West China Subalpine Botanical Garden,2010,1,30.73,103.45,,None,None,Subtropical,Forest,Natural,Evergreen,15.2,1243,561.97,Ra,-2.278928232,2.749713132
338,Miyaluo Experimental Forest,2008,1,31.78,102.7,3215,None,Betula platyphylla plantation,Temperate,Forest,Natural,Evergreen,7.27,687.3,348,Ra,-2.469933232,2.541579244
339,Miyaluo Experimental Forest,2008,1,31.78,102.7,3207,None,Quercus wutaishanica plantation,Temperate,Forest,Natural,Evergreen,7.27,687.3,249,Ra,-2.469933232,2.396199347
340,Miyaluo Experimental Forest,2008,1,31.78,102.7,3135,None,Pinus tabulaeformis plantation,Temperate,Forest,Natural,Evergreen,7.27,687.3,345,Ra,-2.469933232,2.537819095
341,Miyaluo Experimental Forest,2008,1,31.78,102.7,3378,None,None,Temperate,Forest,Natural,Evergreen,7.27,687.3,358,Ra,-2.469933232,2.553883027
346,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,219.3,Ra,-2.165864054,2.341038632
347,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,141.8,Ra,-2.165864054,2.151676231
348,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,120.6,Ra,-2.165864054,2.081347308
349,Longwang Mountain,2011,1,32.2,118.72,,None,None,Subtropical,Forest,Natural,Mixed,15.6,1100,102.1,Ra,-2.165864054,2.009025742
